"Timestamp","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the place displayed in it before?","Choose the most accurate feelings to describe this video.","Have you seen this video or the person displayed in it before?","Choose the most accurate feelings to describe this musical scene.","Have you heard this musical scene before?","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the place displayed in it before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the person displayed in it before?","Choose the most accurate feelings to describe this musical scene.","Have you heard this musical scene before?","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this video.","Have you seen this video before?","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this musical scene.","Have you heard this musical scene before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the person displayed in it before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the person displayed in it before?","Choose the most accurate feelings to describe this video.","Have you seen or heard this video or the person displayed in it before?","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this video.","Have you seen or heard this image or the person displayed in it before?","Choose the most accurate feelings to describe this musical scene.","Have you heard this musical scene before?","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this video.","Have you seen this video or the person displayed in it before?","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this video.","Have you seen or heard this video or the person displayed in it before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the person displayed in it before?","Choose the most accurate feelings to describe this video.","Have you seen this video before?","Choose the most accurate feelings to describe this paragraph.","Have you seen this paragraph before?","Choose the most accurate feelings to describe this video.","Have you seen this video or the people displayed in it before?","Choose the most accurate feelings to describe this musical scene.","Have you heard this musical scene before?","Choose the most accurate feelings to describe this video.","Have you seen this video before?","Choose the most accurate feelings to describe this video.","Have you seen this video or the person displayed in it before?","Choose the most accurate feelings to describe this video.","Have you seen this video or the person displayed in it before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the person displayed in it before?","Choose the most accurate feelings to describe this image.","Have you seen this image or the person displayed in it before?"
"2020/04/01 10:29:23 AM GMT+3","Sad","No","Inspirational","Yes","Inspirational","Yes","Inspirational","Yes","None/ Other","No","Sad","No","Angry","No","Sad","Yes","Happy/ funny","No","Happy/ funny","No","Sad","No","Inspirational","Yes","Scary","No","Inspirational","Yes","Inspirational","Yes","Happy/ funny","Yes","Inspirational","Yes","Scary","Yes","Happy/ funny","No","Happy/ funny","Yes","Sad","No","Inspirational","Yes","None/ Other","No","None\ other","No","Sad","No","Happy/ funny","Yes","Inspirational","Yes","Scary","No","Inspirational","Yes","Happy/ funny","Yes","Happy/ funny","Yes","Angry","No"
"2020/04/01 6:03:56 PM GMT+3","Sad","No","Inspirational","Yes","Inspirational;Scary","No","Inspirational","Yes","None/ Other","No","None/ Other","No","Angry;Scary","No","Sad","Yes","Sad","No","None\ other","No","Sad","No","Happy/ funny;Inspirational","Yes","None/ Other","No","Inspirational","Yes","Inspirational","Yes","Happy/ funny","No","Sad;Inspirational","Yes","Inspirational","No","Happy/ funny","No","Happy/ funny","No","Sad","No","Angry","Yes","None/ Other","No","Inspirational","No","None/ Other","No","Inspirational","Yes","Inspirational","Yes","Scary","No","Inspirational","No","Happy/ funny","No","Inspirational","Yes","Angry","No"
"2020/04/01 6:11:29 PM GMT+3","Sad","No","Happy/ funny;Scary","Yes","Inspirational;Scary","Yes","Happy/ funny;Inspirational","Yes","Sad","No","Sad","No","Happy/ funny;Angry","No","Sad;Inspirational","Yes","Sad","No","Happy/ funny","No","Sad","No","Happy/ funny;Sad;Inspirational","Yes","Happy/ funny;Scary","No","Inspirational","Yes","Inspirational","Yes","Sad","No","Sad;Inspirational","Yes","Inspirational;Scary","No","Happy/ funny","No","Happy/ funny","No","Sad","No","Sad;Angry","Yes","Happy/ funny","No","Happy/ funny;Inspirational","No","Happy/ funny","No","Happy/ funny","No","Happy/ funny;Inspirational","Yes","Sad;Scary","No","Happy/ funny;Inspirational","Yes","Happy/ funny","No","Happy/ funny;Inspirational","Yes","Angry;Scary","No"
"2020/04/01 6:46:05 PM GMT+3","Sad","No","Inspirational","Yes","Scary","Yes","None\ other","Yes","Happy/ funny","No","Sad","No","Sad","No","Sad","No","Happy/ funny","No","None\ other","No","Sad","No","Inspirational","Yes","Scary","No","Happy/ funny;None/ Other","Yes","Inspirational","Yes","Happy/ funny","No","None\ other","No","Angry","No","None/ Other","No","Happy/ funny","No","Sad","No","Happy/ funny","Yes","Scary","No","Scary","No","Angry","No","Happy/ funny","Yes","Happy/ funny","Yes","Sad","No","Scary","No","Happy/ funny","Yes","Happy/ funny","Yes","Angry","No"
"2020/04/01 7:55:57 PM GMT+3","Angry","No","Inspirational","Yes","Inspirational","Yes","None\ other","Yes","Sad","No","None/ Other","No","Happy/ funny","No","Sad","Yes","Happy/ funny","No","Happy/ funny","No","Happy/ funny","No","Inspirational","Yes","Happy/ funny","No","Inspirational","Yes","Inspirational","Yes","Happy/ funny","No","Inspirational","Yes","Inspirational","No","Happy/ funny","No","Happy/ funny","No","Sad","No","Angry","No","Happy/ funny","No","None\ other","No","None/ Other","No","None\ other","No","Inspirational","Yes","None\ other","No","Inspirational","No","Happy/ funny","No","Happy/ funny","Yes","None/ Other","No"
"2020/04/01 7:57:35 PM GMT+3","Sad","No","Happy/ funny","Yes","Happy/ funny;Inspirational;Scary","No","Sad;Inspirational","Yes","None/ Other","No","Sad;Inspirational","No","Happy/ funny;Sad","No","Sad","Yes","Happy/ funny;Sad","No","None\ other","No","Happy/ funny;Angry","No","Happy/ funny;Inspirational","Yes","Happy/ funny;Angry","No","Inspirational","Yes","Happy/ funny;Inspirational","Yes","Happy/ funny;Inspirational","No","Happy/ funny;Sad;Inspirational","Yes","Inspirational","No","Happy/ funny;Angry","No","Happy/ funny;Inspirational","No","Sad;Angry","No","Sad;Angry;Scary","Yes","None/ Other","No","Sad;Inspirational","No","Sad;Angry","No","Happy/ funny","Yes","Inspirational","Yes","Inspirational;Scary","No","Inspirational;Scary","No","Happy/ funny","No","Happy/ funny","Yes","Sad","No"
"2020/04/01 8:00:11 PM GMT+3","Sad","No","Inspirational","Yes","Scary","No","Inspirational","Yes","Happy/ funny","No","Sad","No","Angry","Yes","Sad","Yes","Happy/ funny","No","None\ other","No","Sad","No","Happy/ funny","Yes","Scary","No","None/ Other","Yes","Inspirational","Yes","Happy/ funny","No","Inspirational","Yes","Angry;None\ other","No","Happy/ funny","No","Happy/ funny","No","Sad;Angry","No","Inspirational","No","Sad","No","None\ other","No","Happy/ funny","No","Happy/ funny","Yes","Inspirational","Yes","Scary","No","None\ other","No","Happy/ funny","No","Happy/ funny","Yes","Angry","No"
"2020/04/01 8:34:50 PM GMT+3","None/ Other","No","Scary","Yes","Inspirational","Yes","Happy/ funny","Yes","None/ Other","No","None/ Other","No","Happy/ funny","No","Sad","Yes","Happy/ funny","No","None\ other","No","Happy/ funny","No","Happy/ funny;Inspirational","Yes","Scary","Yes","Inspirational","Yes","Happy/ funny;Inspirational","No","None/ Other","No","None\ other","No","None\ other","No","None/ Other","No","Happy/ funny","No","None/ Other","No","None\ other","No","None/ Other","No","None\ other","No","Happy/ funny","No","Happy/ funny","Yes","Inspirational","Yes","None\ other","No","None\ other","Yes","Happy/ funny","No","Happy/ funny","Yes","Angry","No"
"2020/04/01 8:36:37 PM GMT+3","Sad","No","Inspirational","Yes","Scary","Yes","Sad","Yes","Sad","No","None/ Other","No","Angry","No","Sad","Yes","Happy/ funny","No","Happy/ funny","No","Sad","No","Inspirational","Yes","Happy/ funny","No","Inspirational","Yes","Inspirational","Yes","Happy/ funny;Sad","No","Inspirational","Yes","None\ other","No","Happy/ funny","No","Happy/ funny","No","Sad;Angry","No","None\ other","No","Sad","No","Happy/ funny","No","Happy/ funny","No","Happy/ funny","Yes","Happy/ funny","Yes","Sad;Scary","No","Inspirational","No","Happy/ funny","No","Happy/ funny","Yes","Angry","No"
"2020/04/01 8:50:54 PM GMT+3","Happy/ funny","No","None/ Other","Yes","Scary","Yes","Inspirational","Yes","Sad","No","None/ Other","No","Scary","No","Sad","Yes","Happy/ funny","No","None\ other","No","Sad","No","Happy/ funny","Yes","None/ Other","No","Inspirational","Yes","Inspirational","Yes","Sad","No","Sad","Yes","Scary","No","Happy/ funny","No","Happy/ funny","No","Happy/ funny","No","None\ other","Yes","Scary","No","Inspirational","No","Happy/ funny","No","Inspirational","Yes","Inspirational","Yes","Scary","No","Inspirational","Yes","Happy/ funny","No","Happy/ funny","Yes","None/ Other","No"
"2020/04/01 9:22:34 PM GMT+3","Sad","No","None/ Other","Yes","Scary","No","Inspirational","Yes","Happy/ funny","No","Sad","No","Angry","No","Sad","Yes","Happy/ funny","No","Happy/ funny","No","Scary","No","Inspirational","Yes","Scary","No","Inspirational","Yes","Inspirational","Yes","Happy/ funny","No","Sad","Yes","None\ other","No","Happy/ funny","No","Happy/ funny","No","Sad","No","Angry","No","Happy/ funny","No","Inspirational","No","Sad","No","None\ other","No","Inspirational","Yes","Scary","No","Scary","No","Happy/ funny","No","Happy/ funny","No","Angry","No"
"2020/04/01 9:38:11 PM GMT+3","Happy/ funny","No","Happy/ funny","Yes","Scary","Yes","Inspirational","Yes","Sad","No","None/ Other","No","Sad","No","Sad","Yes","None/ Other","No","Happy/ funny","No","None/ Other","No","Inspirational","Yes","Scary","No","Inspirational","Yes","Inspirational","No","Happy/ funny","No","Inspirational","Yes","Inspirational","No","None/ Other","No","Happy/ funny;Inspirational","No","Sad;Angry","No","Angry","No","Happy/ funny","No","None\ other","No","Angry","No","Happy/ funny","No","Happy/ funny","Yes","Scary","No","Inspirational","Yes","Happy/ funny","No","Happy/ funny","No","Angry","No"
"2020/04/01 9:40:35 PM GMT+3","Sad","No","Inspirational","Yes","Inspirational","No","Sad;Inspirational","Yes","Happy/ funny","No","None/ Other","No","Happy/ funny","No","Sad","Yes","Happy/ funny","No","Scary","No","Sad","No","Inspirational","Yes","Scary","No","Inspirational","Yes","Inspirational","Yes","Happy/ funny","No","Inspirational","Yes","Angry;Scary","No","Happy/ funny","No","Happy/ funny","Yes","Angry","No","Angry","Yes","Scary","No","Inspirational","No","Sad;Angry","No","Inspirational","Yes","Inspirational","Yes","Scary","No","Inspirational;Scary","No","Happy/ funny","No","Inspirational","Yes","Happy/ funny","No"
"2020/04/01 9:44:37 PM GMT+3","Sad","No","Inspirational","Yes","Scary","No","Happy/ funny","Yes","Happy/ funny;Inspirational","No","Sad;Angry","No","Angry","No","Sad;Inspirational","Yes","Happy/ funny;Sad","No","Happy/ funny;Scary","No","Sad","No","Happy/ funny;Inspirational","Yes","Happy/ funny;Scary","No","Inspirational","Yes","Inspirational","Yes","Happy/ funny","No","Sad;Scary","Yes","Happy/ funny","No","Sad","No","Happy/ funny;Inspirational","No","Inspirational","No","Angry","No","None/ Other","No","Happy/ funny","No","Angry","No","Happy/ funny","No","Happy/ funny;Inspirational","Yes","Scary","No","Scary;None\ other","Yes","Happy/ funny","No","Happy/ funny;Inspirational","Yes","Angry","No"
